title,price,category,link
Apple iPad (2020) 128Gb Wi-Fi  (Silver) RU/A,"50,999.00 руб.",Apple Store,https://vsemsmart.ru/Apple-Store?product_id=18131
Apple iPad (2020) 128Gb Wi-Fi  (Space Gray),"49,999.00 руб.",Apple Store,https://vsemsmart.ru/Apple-Store?product_id=18134
Apple iPad (2020) 128Gb Wi-Fi  (Silver) ,"49,999.00 руб.",Apple Store,https://vsemsmart.ru/Apple-Store?product_id=18133
Moko ultraslim чехол для HUAWEI MediaPad T3 7.0 bg2 U01 U02 brown,"1,199.00 руб.",Аксессуары,https://vsemsmart.ru/aksessuary?product_id=12688
Apple iPad Air 10.9'' (2020) 64Gb Wi-Fi (Silver),"63,999.00 руб.",Apple Store,https://vsemsmart.ru/Apple-Store?product_id=18153
Apple iPad Air 10.9'' (2020) 64Gb Wi-Fi (Green) (MYFR2RU/A),"65,999.00 руб.",Apple Store,https://vsemsmart.ru/Apple-Store?product_id=18092
Телевизор  Samsung UE-22H5000,"15,699.00 руб.",Телевизоры,https://vsemsmart.ru/televizory?product_id=14913
Монопод для смартфонов iOS/Android Piko Black,799.00 руб.,Гаджеты,https://vsemsmart.ru/gadzhety?product_id=11329
Samsung Galaxy Tab A8 10.5 4/64GB Wi-Fi Silver,"26,499.00 руб.",Планшеты,https://vsemsmart.ru/planshety?product_id=19088
Xiaomi 11 Lite 8/128GB (Black) 5G NE,"30,499.00 руб.", Телефоны и Смартфоны,https://vsemsmart.ru/phone?product_id=18820&mfp=17f-sensornyy-ekran%5B44%5D
Xiaomi 11 Lite 6/128GB (White) 5G NE,"30,499.00 руб.", Телефоны и Смартфоны,https://vsemsmart.ru/phone?product_id=18823&mfp=17f-sensornyy-ekran%5B44%5D
Samsung Galaxy Z Flip3 F711B 8/256 Cream [Новинка],"89,999.00 руб.", Телефоны и Смартфоны,https://vsemsmart.ru/phone?product_id=18995&mfp=17f-sensornyy-ekran%5B44%5D
Apple iPad Air 10.9'' (2020) 64Gb Wi-Fi + Cellular (Silver)  ,"71,999.00 руб.",Apple Store,https://vsemsmart.ru/Apple-Store?product_id=18158
Xiaomi 12 8/256Gb (Blue),"59,999.00 руб.", Телефоны и Смартфоны,https://vsemsmart.ru/phone?product_id=19228
Apple iPad Air 10.9'' (2020) 64Gb Wi-Fi + Cellular (Rose Gold) (MYGY2RU/A),"71,999.00 руб.",Apple Store,https://vsemsmart.ru/Apple-Store?product_id=18215
Xiaomi 12 12/256Gb (Purple),"65,999.00 руб.", Телефоны и Смартфоны,https://vsemsmart.ru/phone?product_id=19227
Apple iPad Air 10.9'' (2020) 64Gb Wi-Fi + Cellular (Space Gray),"71,999.00 руб.",Apple Store,https://vsemsmart.ru/Apple-Store?product_id=18213
Смарт-лампочка с динамиком Mipow BTL100,"3,799.00 руб.",Умный дом,https://vsemsmart.ru/umnyj-dom?product_id=6189
Xiaomi 12 8/256Gb (Gray),"57,999.00 руб.", Телефоны и Смартфоны,https://vsemsmart.ru/phone?product_id=19229&mfp=17f-sensornyy-ekran%5B44%5D
Xiaomi 12 8/256Gb (Gray),"57,999.00 руб.", Телефоны и Смартфоны,https://vsemsmart.ru/phone?product_id=19229
Xiaomi 12 8/256Gb (Blue),"59,999.00 руб.", Телефоны и Смартфоны,https://vsemsmart.ru/phone?product_id=19228&mfp=17f-sensornyy-ekran%5B44%5D
Redmi Band Black,"1,199.00 руб.",Гаджеты,https://vsemsmart.ru/gadzhety?product_id=17708
"Графический планшет для рисования Xiaomi Mijia Wicue 10"" Pink","1,799.00 руб.",Гаджеты,https://vsemsmart.ru/gadzhety?product_id=18177
Xiaomi Pad 5 10.9” Wi-Fi 6/128GB Pearl White Новинка,"39,999.00 руб.",Планшеты,https://vsemsmart.ru/planshety?product_id=19007
BQ 9055L Exion Pro Mini Dark Graphite,"137,999.00 руб.",Планшеты,https://vsemsmart.ru/planshety?product_id=19051
Xiaomi Pad 5 10.9” Wi-Fi 6/128GB Cosmic Gray Новинка,"39,999.00 руб.",Планшеты,https://vsemsmart.ru/planshety?product_id=19006
BQ 9055L Exion Pro Mini Dark Blue,"13,799.00 руб.",Планшеты,https://vsemsmart.ru/planshety?product_id=19053
BQ 2004 RAY (Grey-black),"3,499.00 руб.", Телефоны и Смартфоны,https://vsemsmart.ru/phone?product_id=17628
BQ 8077L Exion Plus Gold,"8,799.00 руб.",Планшеты,https://vsemsmart.ru/planshety?product_id=18604
BQ 9055L Exion Pro Mini Dark Gold,"13,799.00 руб.",Планшеты,https://vsemsmart.ru/planshety?product_id=19052
BQ 9055L Exion Pro Mini Black,"13,799.00 руб.",Планшеты,https://vsemsmart.ru/planshety?product_id=19050
Смарт-лампочка Mipow BTL200 RGB,"2,299.00 руб.",Умный дом,https://vsemsmart.ru/umnyj-dom/%D0%A1%D0%BC%D0%B0%D1%80%D1%82-%D0%BB%D0%B0%D0%BC%D0%BF%D0%BE%D1%87%D0%BA%D0%B0-Mipow-BTL200-RGB
Розетка-диммер Proove TSR101,"1,199.00 руб.",Умный дом,https://vsemsmart.ru/umnyj-dom?product_id=6535
BQ 5016G CHOICE (Black),"7,399.00 руб.", Телефоны и Смартфоны,https://vsemsmart.ru/phone?product_id=17644
Samsung Galaxy Tab A7 10.4 (2020) T505 LTE 32Gb (Dark Gray) Новинка,"26,999.00 руб.",Планшеты,https://vsemsmart.ru/planshety?product_id=18693
Samsung Galaxy Tab A7 10.4 (2020) T500 Wi-Fi 64Gb (Silver) Новинка,"21,999.00 руб.",Планшеты,https://vsemsmart.ru/planshety?product_id=18104
Samsung Galaxy Tab A7 10.4 (2020) T500 Wi-Fi 64Gb (Gold) Новинка,"21,999.00 руб.",Планшеты,https://vsemsmart.ru/planshety?product_id=18103
Samsung Galaxy Tab A7 10.4 (2020) T500 Wi-Fi 64Gb (Dark Gray) Новинка,"21,999.00 руб.",Планшеты,https://vsemsmart.ru/planshety?product_id=18102
Клавиатура ASUS Strix Tactic Pro,"10,899.00 руб.",Комплектующие для компьютера,https://vsemsmart.ru/komplektuyushchie-dlya-kompyutera?product_id=10643
Телевизор HAIER LED LE32K6000S ,"10,199.00 руб.",Телевизоры,https://vsemsmart.ru/televizory?product_id=14882
Samsung Galaxy Tab A7 10.4 (2020) T505 LTE 32Gb (Gold) Новинка,"26,999.00 руб.",Планшеты,https://vsemsmart.ru/planshety?product_id=18694
Смарт-свеча Mipow BTL300 RGB,"1,199.00 руб.",Умный дом,https://vsemsmart.ru/umnyj-dom?product_id=6179
BQ BQM-2442 One L+ (Red),899.00 руб., Телефоны и Смартфоны,https://vsemsmart.ru/phone?product_id=16112
Комплект беспроводной Logitech MK270 Black,"2,999.00 руб.",Комплектующие для компьютера,https://vsemsmart.ru/komplektuyushchie-dlya-kompyutera?product_id=10818
Samsung Galaxy Tab A7 10.4 (2020) T500 Wi-Fi 32Gb (Silver) Новинка,"19,999.00 руб.",Планшеты,https://vsemsmart.ru/planshety?product_id=18101
SAMSUNG SM-T385N Galaxy Tab A 8.0 LTE ZSA (silver),"16,999.00 руб.",Планшеты,https://vsemsmart.ru/planshety?product_id=11604
"Комплект QCYBER Комплект №2 Коврик TAKTIKS WAR THUNDER, Клавиатура TEHNIC, Мышь ALIEN","4,899.00 руб.",Комплектующие для компьютера,https://vsemsmart.ru/komplektuyushchie-dlya-kompyutera?product_id=15628
SAMSUNG SM-T380N Galaxy Tab A 8.0 ZKA (black),"15,199.00 руб.",Планшеты,https://vsemsmart.ru/planshety?product_id=11600
Samsung Galaxy Tab S6 Lite P615 10.4'' 64Gb LTE Pink ,"31,999.00 руб.",Планшеты,https://vsemsmart.ru/planshety?product_id=17751
SAMSUNG SM-T380N Galaxy Tab A 8.0 ZSA (silver),"15,199.00 руб.",Планшеты,https://vsemsmart.ru/planshety?product_id=11602
Планшет SAMSUNG Galaxy Tab S3 Silver (SM-T820NZSASEK),"44,799.00 руб.",Планшеты,https://vsemsmart.ru/planshety?product_id=10312
